url,title,description,content,article_id
https://economictimes.indiatimes.com/news/india/environment-minister-bhupendra-yadav-among-7-tasked-with-moving-the-needle-at-cop30/articleshow/125394053.cms,Environment Minister Bhupendra Yadav among 7 tasked with moving the needle at COP30,"Climate talks in Belem shift to political discussions as ministers arrive to steer negotiations. Key areas like technology transfer, adaptation finance, and mitigation are being guided by ministerial pairs. Brazil's presidency aims for a package of outcomes, highlighting convergence on several agenda items despite differing options.","Synopsis
Climate talks in Belem shift to political discussions as ministers arrive to steer negotiations. Key areas like technology transfer, adaptation finance, and mitigation are being guided by ministerial pairs. Brazil's presidency aims for a pac... [3339 chars]",0
https://www.thetimes.com/uk/crime/article/drones-hair-loss-drugs-ozempic-steroids-prisons-l6nnf8b9j,"Drones dispatching hair-loss drugs, Ozempic and steroids to prisons","Charlie Taylor, the chief inspector of prisons, has warned that the service is struggling to keep up with drone technology — and it could lead to escapes","Taylor has previously said that drones have become so advanced that they can carry packages of up to 10kg and could be used to smuggle guns, explosives and other weapons into jails. He also warned that they could soon be used to facilitate a prison e... [3409 chars]",9
https://www.nation.com.pk/18-Nov-2025/modern-secure-technology-must-counter-cyber-threat-says-natasha,"Modern and secure technology must to counter cyber threat, says Natasha","VEHARI   -  During a session of the National Assembly, PPP MNA Natasha Daultana raised an important question regarding the establishment of a Cyber","VEHARI - During a session of the National Assembly, PPP MNA Natasha Daultana raised an important question regarding the establishment of a Cyber Security Authority by the Government of Pakistan. She inquired whether the software to be used by the aut... [699 chars]",7
https://timesofindia.indiatimes.com/city/bengaluru/iisc-bengaluru-iit-gandhinagar-team-up-for-new-academic-pathway/articleshow/125393579.cms,"IISc Bengaluru, IIT Gandhinagar team up for new academic pathway",Bengaluru: Indian Institute of Science (IISc) and Indian Institute of Technology Gandhinagar signed a memorandum of understanding to strengthen collab.,Bengaluru: Indian Institute of Science (IISc) and Indian Institute of Technology Gandhinagar signed a memorandum of understanding to strengthen collaboration in research and academic programmes. The agreement aims to combine the strengths of the two ... [1734 chars],2
https://www.manilatimes.net/2025/11/18/tmt-newswire/globenewswire/connectm-reports-third-quarter-2025-results-45-revenue-growth-and-continued-balance-sheet-deleveraging/2225799,ConnectM Reports Third Quarter 2025 Results: 45% Revenue Growth and Continued Balance Sheet Deleveraging,"MARLBOROUGH, Mass., Nov. 17, 2025 (GLOBE NEWSWIRE) -- ConnectM Technology Solutions, Inc. (OTC: CNTM) ('ConnectM” or the 'Company”), a constellation of technology-driven businesses powering the modern energy economy, today reported financial results for the three and nine months ended September 30, 2025, following the Company’s filing of its Quarterly Report on Form 10-Q with the U.S. Securities and Exchange Commission on November 17, 2025.","MARLBOROUGH, Mass., Nov. 17, 2025 (GLOBE NEWSWIRE) -- ConnectM Technology Solutions, Inc. (OTC: CNTM) (""ConnectM” or the ""Company”), a constellation of technology-driven businesses powering the modern energy economy, today reported financial results ... [8990 chars]",6
https://www.newsmax.com/us/biomanufcturing-wardeptartment-soldiers/2025/11/17/id/1234898/,War Dept. Looks to Biomanufacturing as New Key Focus,Biomanufacturing is one of six new Critical Technology Areas receiving increased attention from the War Department. Undersecretary of War for Research and Engineering Emil Michael said enhanced technology will drive the next era of American military strength.,"Biomanufacturing is one of six new Critical Technology Areas receiving increased attention from the War Department.
Undersecretary of War for Research and Engineering Emil Michael said enhanced technology will drive the next era of American military ... [2187 chars]",8
https://www.cnbc.com/2025/11/17/stanley-druckenmiller-rebuilds-big-tech-bets-dips-into-stablecoins-with-figure-technology.html,"Stanley Druckenmiller rebuilds Big Tech bets, dips into stablecoins with Figure Technology",Druckenmiller's Duquesne Family Office initiated a $96 million position in Amazon and a $56 million holding in Meta during the third quarter.,"Billionaire investor Stanley Druckenmiller made a notable return to megacap technology last quarter, rebuilding sizable stakes in Amazon and Meta , while placing a fresh bet on newly public stablecoin issuer Figure Technology , according to a new reg... [1495 chars]",4
https://www.lokmattimes.com/technology/telangana-cabinet-clears-bill-for-welfare-of-gig-workers-2/,Telangana Cabinet clears Bill for welfare of Gig workers,"Telangana Cabinet clears Bill for welfare of Gig workers - Hyderabad, Nov 17 The Telangana Cabinet on Monday approved the Telangana Gig Platform Workers Registration, Social Security and ... Get Latest News on Technology only on lokmattimes.com","Hyderabad, Nov 17 The Telangana Cabinet on Monday approved the Telangana Gig Platform Workers Registration, Social Security and Welfare Bill.
The Cabinet meeting chaired by Chief Minister A. Revanth Reddy cleared the Bill.
Labour Minister Gaddam Vive... [2349 chars]",5
https://www.benzinga.com/markets/tech/25/11/48906142/nvidia-powers-500-million-ai-factory-in-taiwan-as-global-race-for-smarter-tech-heats-up,Nvidia Powers $500 Million AI Factory In Taiwan As Global Race For Smarter Tech Heats Up,"Companies are using AI factories to drive faster innovation and deployment, with Nvidia technology and $500M AI Factory in Taiwan.","Companies are shifting to artificial intelligence factories — large-scale, standardized systems powered by NVIDIA Corp (NASDAQ:NVDA) technology — to turn AI development into a continuous, industrialized process that drives faster innovation and real-... [2264 chars]",3
https://economictimes.indiatimes.com/news/international/us/nvidia-ceo-drops-half-trillion-forecast-wall-street-cant-wait-for-earnings-report/articleshow/125392627.cms,Nvidia CEO drops half-trillion forecast - Wall Street can’t wait for earnings report,"Nvidia is seeing huge demand for its AI chips, and investors are waiting for new earnings to understand the companys future growth. The CEO has shared big numbers that show strong interest in Nvidias next-generation technology. Analysts expect more updates on sales, AI spending, and major partnerships. Wall Street wants to know how fast Nvidia can grow in 2026.","Synopsis
Nvidia is seeing huge demand for its AI chips, and investors are waiting for new earnings to understand the company’s future growth. The CEO has shared big numbers that show strong interest in Nvidia’s next-generation technology. Analysts ex... [6781 chars]",1
